int_ax, ax_min, ax_max, int_ay, ay_min, ay_max, int_az, az_min, az_max, gyr_x_min, gyr_x_max, gyr_y_min, gyr_y_max, gyr_z_min, gyr_z_max, make, left, right, short, long, suggestion
28102.182539682533,235.0,238.0,2114.5119047619046,17.0,19.0,119243.59523809525,1001.0,1004.0,-1.1,-0.9,1.5,1.8,0.2,0.2,1,0,0,0,0,ns
28142.402777777774,235.0,238.0,2128.805555555556,17.0,19.0,119197.40277777775,1000.0,1004.0,-1.1,-0.9,1.5,1.8,0.2,0.2,1,0,0,0,0,ns
28120.805555555562,235.0,238.0,2108.1091269841268,17.0,19.0,119236.20833333331,1000.0,1004.0,-1.1,-0.9,1.4,1.8,0.2,0.3,0,1,0,0,0,ns
28138.109126984127,235.0,238.0,2145.1964285714284,16.0,19.0,119181.90277777775,1000.0,1003.0,-1.1,-0.9,1.6,1.8,0.2,0.3,0,0,1,0,0,ns
28107.0,235.0,237.0,2140.293650793651,17.0,19.0,119212.0257936508,1000.0,1004.0,-1.1,-0.9,1.5,1.8,0.2,0.3,0,0,0,1,0,ns
27855.097222222223,235.0,237.0,2127.402777777778,17.0,19.0,118298.40277777775,1001.0,1004.0,-1.1,-0.9,1.5,1.8,0.2,0.3,0,0,0,1,0,ns
27899.805555555562,235.0,238.0,2100.291666666667,16.0,19.0,118161.30555555555,1000.0,1003.0,-1.1,-0.8,1.5,2.1,0.2,0.3,0,0,0,0,1,ns
57309.339285714275,465.0,496.0,93037.40873015873,768.0,796.0,-33566.892857142855,-297.0,-262.0,-3.1,-0.3,-0.7,4.3,-1.1,1.8,0,0,0,0,1,ns
16353.152777777776,119.0,152.0,111326.04166666666,915.0,984.0,-19817.80555555556,-177.0,-153.0,-3.8,0.2,-2.3,4.8,-2.6,2.0,1,0,0,0,0,ns
-5268.652777777777,-55.0,-34.0,104484.33333333331,863.0,891.0,-47603.29166666666,-408.0,-393.0,-3.1,0.8,0.5,2.5,-0.7,1.1,0,0,0,1,0,ns
-26225.20833333333,-266.0,-171.0,93320.73611111114,769.0,796.0,-62753.513888888876,-552.0,-516.0,-2.5,1.1,-9.8,3.2,-0.9,4.9,0,0,0,1,0,ns
-129787.51388888885,-1998.0,65.0,46897.95833333333,-220.0,1094.0,-34168.40277777778,-1135.0,261.0,38.6,260.0,-55.3,371.0,-76.5,109.2,0,0,0,1,0,ns
-5507.454365079364,-63.0,-28.0,111298.5515873016,893.0,967.0,-29193.76785714285,-254.0,-238.0,-3.2,-0.2,-1.3,3.7,-0.9,1.4,1,0,0,0,0,ns
-56094.7738095238,-483.0,-460.0,95083.14285714287,780.0,818.0,-36329.55555555556,-313.0,-297.0,-4.7,0.0,0.0,3.7,-1.1,1.6,1,0,0,0,0,ns
-41242.556349206345,-299.0,-265.0,134452.6988095238,881.0,925.0,-33309.20952380951,-234.0,-212.0,-4.6,0.9,0.0,3.8,-2.7,2.1,0,0,1,0,0,ns
-49826.138888888876,-307.0,-274.0,150413.68055555553,885.0,940.0,-34307.73611111112,-219.0,-197.0,-3.8,1.6,-2.1,5.3,-1.8,2.1,0,0,0,1,0,ns
18787.298015873013,115.0,153.0,130991.80714285713,889.0,941.0,-40023.93968253968,-292.0,-272.0,-4.8,2.2,-6.2,5.8,-2.3,4.1,1,0,0,0,0,ns
7080.9993894993895,21.0,74.0,156349.823015873,916.0,956.0,-37089.35888278388,-234.0,-208.0,-3.7,0.2,-2.4,6.1,-1.8,1.5,1,0,0,0,0,ns
-213997.5992063491,-1743.0,-510.0,67598.02380952363,-157.0,1127.0,52817.9583333334,-649.0,-31.0,-286.6,100.5,-108.5,89.5,-74.6,52.9,0,0,1,0,0,ns
-66060.4503968254,-387.0,-360.0,146494.7757936508,818.0,845.0,-61749.44246031745,-371.0,-343.0,-4.6,1.4,-1.1,2.9,-1.2,1.8,1,0,0,0,0,ns
64090.66795996401,300.0,342.0,98308.89304189963,475.0,516.0,-153604.55853576248,-794.0,-745.0,-4.0,1.3,-0.9,6.0,-1.5,2.5,1,0,0,0,0,ns
-70949.66956654456,-368.0,-333.0,174002.4781746032,852.0,891.0,-58262.257173382175,-296.0,-274.0,-3.5,0.0,-1.8,3.0,-0.2,4.3,0,0,0,0,1,ns
-51487.039162506415,-254.0,-218.0,185207.5320116488,828.0,874.0,-92587.39309075779,-440.0,-404.0,-4.1,1.3,-2.1,3.6,-1.0,3.1,1,0,0,0,0,ns
-82942.77136191103,-361.0,-299.0,211692.7094681285,833.0,888.0,-69459.1284679089,-298.0,-272.0,-3.8,0.4,-2.6,4.8,-2.3,3.3,1,0,0,0,0,ns
-131017.16212350533,-562.0,-527.0,160867.50827833088,660.0,697.0,-109958.65577238226,-476.0,-443.0,-3.8,0.0,-2.4,3.5,-1.1,2.6,0,0,0,1,0,ns
-58749.25,-519.0,-476.0,98177.44444444444,757.0,898.0,-14662.069444444443,-154.0,-108.0,-11.4,4.6,-5.6,5.3,-2.6,2.2,0,0,1,0,0,ns
-48563.27976190476,-420.0,-385.0,106148.50595238096,873.0,912.0,10587.174603174602,83.0,98.0,-2.3,-0.1,-1.1,3.8,-1.3,1.7,1,0,0,0,0,ns
-49191.789682539675,-428.0,-400.0,97665.4484126984,801.0,847.0,-40650.218253968254,-356.0,-328.0,-3.5,0.5,-4.0,5.0,-1.5,2.5,0,0,0,0,1,ns
-63672.00297619048,-541.0,-483.0,81565.39583333331,597.0,699.0,-66255.66071428571,-542.0,-502.0,-9.2,2.9,-5.8,5.7,-2.5,4.2,0,0,0,0,1,ns
-16950.302777777775,-255.0,31.0,109242.33055555557,588.0,1121.0,38094.51666666666,-623.0,626.0,-18.8,223.9,-73.0,93.2,-17.7,34.5,0,0,0,0,1,ns
31294.555555555562,224.0,298.0,97031.69444444444,801.0,833.0,-52482.58333333333,-450.0,-423.0,-2.3,0.2,-5.7,4.9,-0.3,3.6,0,1,0,0,0,ns
-40692.30555555556,-350.0,-326.0,67931.01388888889,543.0,583.0,-86270.09722222223,-726.0,-713.0,-3.5,0.6,-0.6,3.7,-0.5,1.6,0,1,0,0,0,ns
-24557.79563492064,-244.0,-171.0,96596.12896825396,768.0,853.0,-58544.01984126984,-581.0,-432.0,-21.9,6.7,-11.3,6.3,-2.3,5.1,0,1,0,0,0,ns
-285175.625,-575.0,1534.0,392916.62500000006,-41.0,1111.0,617162.5555555556,-427.0,795.0,-70.7,169.0,-69.3,189.4,-67.9,238.9,1,0,0,0,0,ns
-38975.188200280114,-301.0,-274.0,127429.735585901,913.0,960.0,-403.3817110177405,-14.0,11.0,-3.9,0.0,-2.8,4.0,-1.1,1.6,0,1,0,0,0,ns
-31617.091402116406,-230.0,-206.0,118374.99060846561,798.0,834.0,-71960.39312169312,-505.0,-479.0,-2.9,0.0,-1.6,4.2,-0.4,2.6,1,0,0,0,0,ns
-35554.84523809524,-326.0,-280.0,110242.86309523806,903.0,944.0,-11030.079365079366,-107.0,-79.0,-4.0,0.5,-2.3,5.7,-2.6,1.6,0,1,0,0,0,ns
-28804.055555555562,-249.0,-236.0,103845.6111111111,851.0,894.0,-39258.5,-339.0,-324.0,-2.1,-0.1,-0.4,2.8,-0.7,1.1,0,1,0,0,0,ns
-84335.23611111111,-725.0,-693.0,81006.05555555555,665.0,696.0,20740.47222222222,163.0,186.0,-3.0,1.0,-1.0,3.3,-0.9,1.3,0,1,0,0,0,ns
-45360.70238095238,-359.0,-305.0,113387.70436507935,834.0,916.0,-43663.125,-349.0,-317.0,-3.9,5.1,-2.2,3.5,1.6,4.0,1,0,0,0,0,ns
-71133.95238095237,-541.0,-509.0,100435.18373015874,723.0,755.0,-52158.45873015873,-396.0,-365.0,-3.5,2.0,-2.8,5.1,-0.5,4.9,1,0,0,0,0,ns
-37665.10912698413,-271.0,-245.0,120154.91269841268,790.0,829.0,-70331.64484126984,-486.0,-461.0,-3.3,-0.4,-2.5,5.0,-1.0,1.3,1,0,0,0,0,ns
-70982.4329004329,-477.0,-444.0,129282.41405122654,796.0,848.0,-48000.353174603166,-323.0,-288.0,-2.9,0.4,-2.9,6.6,-1.4,3.2,0,0,0,0,1,ns
-63911.97222222223,-557.0,-512.0,77548.90277777777,640.0,688.0,-57603.944444444445,-503.0,-480.0,-2.6,1.8,-2.4,5.1,0.7,2.9,1,0,0,0,0,ns
-59248.54567307692,-358.0,-315.0,149202.42280982903,835.0,882.0,-59503.37957875457,-351.0,-327.0,-3.4,1.1,-3.3,6.4,-1.9,2.6,1,0,0,0,0,ns
-72528.48394660896,-431.0,-401.0,123304.46176046175,701.0,740.0,-89032.53643578643,-531.0,-497.0,-2.6,1.9,-2.6,5.6,-3.0,5.0,1,0,0,0,0,ns
-85153.82269119768,-475.0,-442.0,126093.35155122654,674.0,710.0,-94774.54761904762,-545.0,-504.0,-3.9,-0.1,-4.8,6.3,-0.9,2.3,1,0,0,0,0,ns
269484.8277258214,-643.0,1324.0,200910.07474473648,-301.0,1046.0,87001.6059395801,-126.0,502.0,-80.2,111.5,-281.2,27.7,-47.2,154.9,0,1,0,0,0,ns
77289.03583099907,417.0,456.0,141645.5464519141,773.0,810.0,-63157.824579831926,-374.0,-342.0,-4.8,0.2,-3.5,5.6,-1.1,2.6,1,0,0,0,0,ns
-90470.92445054943,-427.0,-395.0,162623.0590659341,727.0,770.0,-105518.95115995118,-492.0,-464.0,-4.9,-0.9,-4.4,5.8,-2.1,2.4,1,0,0,0,0,ns
-35854.027777777774,-338.0,-284.0,102536.69444444444,840.0,899.0,-37781.26388888888,-336.0,-309.0,-3.7,2.1,-6.0,8.1,-1.9,2.3,0,1,0,0,0,ns
-53705.40277777777,-516.0,-409.0,88313.5,664.0,771.0,-54659.125,-486.0,-439.0,-5.7,3.7,-10.8,8.8,-3.2,16.2,0,0,0,1,0,ns
-25281.0,-205.0,-174.0,109538.63888888889,808.0,869.0,-61374.35277777778,-483.0,-453.0,-5.6,1.9,-3.3,9.1,-1.4,1.2,1,0,0,0,0,ns
-58989.58611111111,-435.0,-403.0,101577.81666666665,678.0,743.0,-73470.33055555556,-538.0,-493.0,-4.9,0.8,-2.4,9.0,-3.2,2.9,1,0,0,0,0,ns
-42415.927777777775,-313.0,-268.0,95347.88611111112,628.0,674.0,-97620.66805555555,-692.0,-642.0,-5.7,-0.9,-17.0,16.3,-1.5,3.3,1,0,0,0,0,ns
-35076.58964646465,-240.0,-215.0,114549.65909090909,718.0,751.0,-94660.29238816739,-616.0,-594.0,-3.2,-0.1,-2.1,5.1,-1.8,2.4,1,0,0,0,0,ns
-77557.14853421433,-520.0,-478.0,84203.49993354599,519.0,578.0,-101183.76850269613,-665.0,-641.0,-3.2,3.0,-4.3,13.1,-1.8,3.7,1,0,0,0,0,ns
-64694.05555555555,-383.0,-354.0,140192.36111111112,788.0,845.0,-71631.77777777778,-426.0,-394.0,-6.5,1.3,-6.1,6.3,-0.2,3.1,0,0,1,0,0,ns
-16865.60670678528,-152.0,-70.0,142636.24561747775,725.0,813.0,-100743.06560701203,-583.0,-536.0,-11.2,2.7,-7.2,6.9,-7.1,15.7,1,0,0,0,0,ns
-36902.40434763649,-219.0,-160.0,156059.98761555905,761.0,828.0,-101867.01458660388,-534.0,-516.0,-2.4,2.3,-11.6,6.9,0.0,8.4,1,0,0,0,0,ns
-38463.92113095238,-198.0,-175.0,171363.72847222222,823.0,860.0,-91783.81025132275,-461.0,-434.0,-4.1,0.3,-2.3,4.8,-0.7,1.6,1,0,0,0,0,ns
-92038.61944444443,-459.0,-405.0,140595.925,614.0,656.0,-131001.60198412699,-615.0,-581.0,-3.5,1.4,-6.4,12.7,-2.5,3.2,0,0,1,0,0,ns
-103611.63815789476,-492.0,-462.0,155779.52485380118,661.0,695.0,-120486.1571637427,-534.0,-511.0,-4.5,1.1,-3.7,4.6,-1.4,1.7,0,0,0,1,0,ns
-46547.983838383836,-213.0,-185.0,193987.0292207792,838.0,895.0,-86652.4465007215,-400.0,-360.0,-6.4,1.0,-1.6,5.2,-1.1,2.1,1,0,0,0,0,ns
